S. No,Category,State/UT,Personal Revenge,Anger ,Fraud ,Extortion ,Causing Disrepute ,Prank ,Sexual Exploitation,Political Motives ,Terrorist Activities (Total),Terrorist Activities - Terrorist Recruitment,Terrorist Activities - Terrorist Funding,Terrorist Activities - Others,Inciting Hate against Country,Disrupt Public Service,Sale Purchase Illegal Drugs,Developing own Business,Spreading Piracy,Psycho or Pervert ,Steal Information ,Abetment to Suicide,Others ,Total ,Year
11,State,Jharkhand,8,0,964,4,0,0,15,0,7,7,0,0,0,0,8,4,0,0,82,0,3,1095,2019
12,State,Karnataka,12,4,11381,43,109,1,90,9,3,0,0,3,0,0,0,16,2,0,0,0,350,12020,2019
13,State,Kerala,68,25,67,6,28,6,70,16,0,0,0,0,0,0,0,2,7,0,0,0,12,307,2019
14,State,Madhya Pradesh,2,2,178,21,113,2,40,2,0,0,0,0,1,0,0,1,0,1,1,0,238,602,2019
15,State,Maharashtra,48,45,3551,35,87,10,557,12,21,0,0,21,0,0,0,12,1,0,7,0,581,4967,2019
16,State,Manipur,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2019
17,State,Meghalaya,4,7,50,7,2,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,11,89,2019
18,State,Mizoram,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2019
19,State,Nagaland,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2019
20,State,Odisha,24,0,1000,279,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1485,2019
21,State,Punjab,4,8,81,23,21,5,65,4,0,0,0,0,1,1,0,3,0,0,1,0,26,243,2019
22,State,Rajasthan,17,45,938,59,90,6,103,9,0,0,0,0,3,0,0,12,2,0,0,0,478,1762,2019
23,State,Sikkim,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019
24,State,Tamil Nadu,39,22,73,21,80,4,65,50,0,0,0,0,3,6,0,2,3,0,0,0,17,385,2019
25,State,Telangana,11,4,2013,49,1,6,78,6,2,0,0,2,2,1,0,10,0,0,0,0,508,2691,2019
26,State,Tripura,1,1,2,3,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2019
27,State,Uttar Pradesh,301,81,3549,544,953,1293,430,90,106,0,0,106,31,11,0,61,18,0,0,0,3948,11416,2019
28,State,Uttarakhand,4,8,28,5,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,43,100,2019
29,State,West Bengal,28,9,68,25,2,3,39,1,0,0,0,0,2,0,0,0,0,0,0,0,158,335,2019
30,State,TOTAL STATE(S),1195,581,26853,1827,1874,1384,2238,316,198,8,0,190,49,28,10,181,43,1,93,0,7524,44395,2019
31,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2019
32,UT,Chandigarh,4,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,2019
33,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
34,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2019
35,UT,Delhi,4,0,31,15,0,1,21,0,1,0,0,1,0,0,0,0,0,0,0,0,42,115,2019
36,UT,Lakshadweep,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2019
37,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,2019
38,UT,TOTAL UT(S),12,0,38,15,0,1,28,0,1,0,0,1,0,0,0,0,2,0,0,0,54,151,2019
39,Grand Total,TOTAL ALL INDIA,1207,581,26891,1842,1874,1385,2266,316,199,8,0,191,49,28,10,181,45,1,93,0,7578,44546,2019
1,State,Andhra Pradesh,83,39,1149,56,15,2,169,67,0,0,0,0,0,2,0,42,0,0,4,0,271,1899,2020
2,State,Arunachal Pradesh,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,30,2020
3,State,Assam,654,164,242,447,85,35,483,24,0,0,0,0,58,12,0,3,0,0,0,0,1323,3530,2020
4,State,Bihar,84,34,1218,102,19,12,32,7,0,0,0,0,0,1,0,3,0,0,0,0,0,1512,2020
5,State,Chhattisgarh,0,1,75,7,41,0,35,0,2,0,0,2,0,0,0,1,0,0,0,0,135,297,2020
6,State,Goa,0,0,25,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2020
7,State,Gujarat,6,31,875,26,203,43,37,3,0,0,0,0,6,8,2,5,4,0,0,0,34,1283,2020
8,State,Haryana,14,3,157,17,9,1,70,1,0,0,0,0,0,2,0,8,6,0,0,0,368,656,2020
9,State,Himachal Pradesh,2,1,19,9,15,0,34,3,0,0,0,0,0,1,0,6,1,0,1,0,6,98,2020
10,State,Jharkhand,4,4,1069,14,2,0,13,0,7,7,0,0,0,7,13,0,0,0,49,0,22,1204,2020
11,State,Karnataka,147,13,9680,74,368,0,191,18,0,0,0,0,3,1,2,17,4,0,0,0,223,10741,2020
12,State,Kerala,44,34,96,21,58,10,138,10,0,0,0,0,0,0,0,0,1,0,0,0,14,426,2020
13,State,Madhya Pradesh,7,6,292,13,66,2,119,3,0,0,0,0,0,0,0,7,0,0,0,0,184,699,2020
14,State,Maharashtra,36,105,3413,45,76,32,612,9,0,0,0,0,3,2,0,14,0,0,0,0,1149,5496,2020
15,State,Manipur,0,2,40,0,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,14,79,2020
16,State,Meghalaya,6,10,81,7,9,0,9,1,1,0,0,1,0,0,0,0,0,0,1,0,17,142,2020
17,State,Mizoram,0,0,3,0,2,3,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,13,2020
18,State,Nagaland,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2020
19,State,Odisha,1,33,1380,175,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1931,2020
20,State,Punjab,4,19,164,29,19,3,58,2,0,0,0,0,7,2,0,1,3,0,0,0,67,378,2020
21,State,Rajasthan,22,10,641,42,73,11,67,4,0,0,0,0,4,0,0,17,0,0,0,0,463,1354,2020
22,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
23,State,Tamil Nadu,83,57,134,112,43,7,192,108,0,0,0,0,0,16,0,0,19,0,0,0,11,782,2020
24,State,Telangana,96,24,4436,115,3,0,85,8,0,0,0,0,0,1,0,0,0,0,0,0,256,5024,2020
25,State,Tripura,14,1,11,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,34,2020
26,State,Uttar Pradesh,78,210,4674,1055,547,87,560,73,96,0,0,96,82,35,0,76,36,0,5,0,3483,11097,2020
27,State,Uttarakhand,11,5,98,33,6,0,44,1,0,0,0,0,0,0,4,2,0,0,0,0,39,243,2020
28,State,West Bengal,66,8,72,12,3,3,44,1,0,0,0,0,0,0,0,1,0,0,0,0,502,712,2020
Total State(s),Total State(s),Total State(s),1463,814,30075,2411,1678,252,3249,355,109,7,0,102,163,90,21,203,75,0,62,0,8688,49708,2020
29,Union Territories,A & N Islands,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2020
30,Union Territories,Chandigarh,0,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2020
31,Union Territories,D & N Haveli and Daman & Diu,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2020
32,Union Territories,Delhi,2,4,23,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,104,168,2020
33,Union Territories,Jammu & Kashmir,3,4,33,9,28,2,12,1,4,0,0,4,2,1,0,7,0,0,0,0,14,120,2020
34,Union Territories,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2020
35,Union Territories,Lakshadweep,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2020
36,Union Territories,Puducherry,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2020
Total UT(s),Total UT(s),Total UT(s),7,8,67,29,28,2,44,1,4,0,0,4,2,2,0,7,0,0,0,0,126,327,2020
Total All India,Total All India,Total All India,1470,822,30142,2440,1706,254,3293,356,113,7,0,106,165,92,21,210,75,0,62,0,8814,50035,2020
